reporting_entity_name_in_network_files,provider_group_id,provider_group_id_type,sub_npi,negotiation_arrangement,billing_code,billing_code_type,billing_code_name,billing_code_modifier,negotiated_type,negotiated_rate,billing_class,provider_name,provider_city,provider_state,provider_zip_code
UnitedHealthcare Insurance Company,20555370,ein,1629064928,ffs,121,MS-DRG,Acute Major Eye Infections with CC//MCC,,negotiated,33684.46,institutional,Texas Health Southlake,Southlake,TX,76092
UnitedHealthcare Insurance Company,20555370,ein,1629064928,ffs,178,MS-DRG,Respiratory Infections and Inflammations with CC,,negotiated,34171.08,institutional,Texas Health Southlake,Southlake,TX,76092
UnitedHealthcare Insurance Company,20555370,ein,1629064928,ffs,470,MS-DRG,Major Hip and Knee Joint Replacement or Reattachment of Lower Extremity without MCC,,negotiated,53763.29,institutional,Texas Health Southlake,Southlake,TX,76092
UnitedHealthcare Insurance Company,20555370,ein,1629064928,ffs,455,MS-DRG,Combined Anterior and Posterior Spinal Fusion without CC//MCC,,negotiated,135272.54,institutional,Texas Health Southlake,Southlake,TX,76092
UnitedHealthcare Insurance Company,20555370,ein,1629064928,ffs,928,MS-DRG,Full Thickness Burn with Skin Graft or Inhalation Injury with CC//MCC,,negotiated,184792.03,institutional,Texas Health Southlake,Southlake,TX,76092
Blue Cross and Blue Shield of Texas,20594510,ein,1386657047,ffs,15777,CPT,ACELLULAR DERM MATRIX IMPLT,,negotiated,0,institutional,Theda Oaks Ambulatory Surgical Center,San Antonio,TX,78258
Blue Cross and Blue Shield of Texas,20594510,ein,1386657047,ffs,47562,CPT,LAPAROSCOPIC CHOLECYSTECTOMY,,negotiated,4243.28,institutional,Theda Oaks Ambulatory Surgical Center,San Antonio,TX,78258
Blue Cross and Blue Shield of Texas,20594510,ein,1386657047,ffs,33249,CPT,INSJ RPLCMT DEFIB W LEAD S ,,negotiated,38097.97,institutional,Theda Oaks Ambulatory Surgical Center,San Antonio,TX,78258
UnitedHealthcare Insurance Company,30280256,ein,1790733996,ffs,785,MS-DRG,Cesarean Section with Sterilization without CC//MCC,,negotiated,5700,institutional,White River Junction Va Medical Center,White River Junction,VT,5001
UnitedHealthcare Insurance Company,30442535,ein,1851344188,ffs,470,MS-DRG,Major Hip and Knee Joint Replacement or Reattachment of Lower Extremity without MCC,,negotiated,10940,institutional,Onecore Health,Oklahoma City,OK,73114
UnitedHealthcare Insurance Company,30442535,ein,1851344188,ffs,455,MS-DRG,Combined Anterior and Posterior Spinal Fusion without CC//MCC,,negotiated,14957,institutional,Onecore Health,Oklahoma City,OK,73114
Fallon Health,42103555,ein,1013995133,ffs,15777,CPT,IMPLNT BIO IMPLNT FOR SOFT TISSUE REINFORCEMENT,,negotiated,145.7,institutional,Umass Memorial Healthalliance Clinton Hospital Leominster Campus,Leominster,MA,1453
Fallon Health,42103555,ein,1013995133,ffs,33249,CPT,NSERT PACE-DEFIB W//LEAD,,negotiated,1656,institutional,Umass Memorial Healthalliance Clinton Hospital Leominster Campus,Leominster,MA,1453
Fallon Health,42103555,ein,1013995133,ffs,36522,CPT,PHOTOPHERESIS,,negotiated,3011,institutional,Umass Memorial Healthalliance Clinton Hospital Leominster Campus,Leominster,MA,1453
Fallon Health,42103555,ein,1013995133,ffs,47562,CPT,LAPAROSCOPIC CHOLECYSTECTOMY,,negotiated,5661,institutional,Umass Memorial Healthalliance Clinton Hospital Leominster Campus,Leominster,MA,1453
Fallon Health,42103555,ein,1013995133,ffs,77373,CPT,SBRT DELIVERY,,negotiated,5661,institutional,Umass Memorial Healthalliance Clinton Hospital Leominster Campus,Leominster,MA,1453
Fallon Health,42103555,ein,1013995133,ffs,785,MS-DRG,CESAREAN SECTION W STERILIZATION W//O CC//MCC,,negotiated,7279,institutional,Umass Memorial Healthalliance Clinton Hospital Leominster Campus,Leominster,MA,1453
Aetna Life insurance Company,42103555,ein,1285171934,ffs,470,MS-DRG,MAJOR JOINT REPLACEMENT,,negotiated,18535,institutional,Umass Memorial Healthalliance Clinton Hospital Clinton Campus,Clinton,MA,1510
Fallon Health,42103555,ein,1013995133,ffs,470,MS-DRG,MAJOR JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W,,negotiated,18834,institutional,Umass Memorial Healthalliance Clinton Hospital Leominster Campus,Leominster,MA,1453
Fallon Health,42103577,ein,1790780047,ffs,15777,CPT,IMPLNT BIO IMPLNT FOR SOFT TISSUE REINFORCEMENT,,negotiated,0,institutional,Umass Memorial Health Harrington,Southbridge,MA,1550
Fallon Health,42103577,ein,1790780047,ffs,33249,CPT,NSERT PACE-DEFIB W//LEAD,,negotiated,0,institutional,Umass Memorial Health Harrington,Southbridge,MA,1550
Fallon Health,42103577,ein,1790780047,ffs,36522,CPT,PHOTOPHERESIS,,negotiated,0,institutional,Umass Memorial Health Harrington,Southbridge,MA,1550
Fallon Health,42103577,ein,1790780047,ffs,47562,CPT,LAPAROSCOPIC CHOLECYSTECTOMY,,negotiated,0,institutional,Umass Memorial Health Harrington,Southbridge,MA,1550
Fallon Health,42103577,ein,1790780047,ffs,77373,CPT,SBRT DELIVERY,,percentage,59.9,institutional,Umass Memorial Health Harrington,Southbridge,MA,1550
Fallon Health,42103577,ein,1790780047,ffs,785,MS-DRG,CESAREAN SECTION W STERILIZATION W//O CC//MCC,,negotiated,7640.66,institutional,Umass Memorial Health Harrington,Southbridge,MA,1550
Fallon Health,42103577,ein,1790780047,ffs,178,MS-DRG,RESPIRATORY INFECTIONS & INFLAMMATIONS W CC,,negotiated,9105.8,institutional,Umass Memorial Health Harrington,Southbridge,MA,1550
Fallon Health,42103577,ein,1790780047,ffs,121,MS-DRG,ACUTE MAJOR EYE INFECTIONS W CC//MCC,,negotiated,10264.34,institutional,Umass Memorial Health Harrington,Southbridge,MA,1550
Fallon Health,42103577,ein,1790780047,ffs,470,MS-DRG,MAJOR JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W,,negotiated,16015.99,institutional,Umass Memorial Health Harrington,Southbridge,MA,1550
Fallon Health,42103577,ein,1790780047,ffs,455,MS-DRG,COMBINED ANTERIOR//POSTERIOR SPINAL FUSION W//O CC//MCC,,negotiated,40109.08,institutional,Umass Memorial Health Harrington,Southbridge,MA,1550
Fallon Health,42103577,ein,1790780047,ffs,928,MS-DRG,FULL THICKNESS BURN W SKIN GRAFT OR INHAL INJ W CC//MCC,,negotiated,51864.52,institutional,Umass Memorial Health Harrington,Southbridge,MA,1550
UnitedHealthcare Insurance Company,42104434,ein,1477721579,ffs,785,MS-DRG,Cesarean Section with Sterilization without CC//MCC,,negotiated,12397,institutional,Winchester Hospital Center For Cancer Care,Winchester,MA,1890
Fallon Health,42104693,ein,1396738159,ffs,33249,CPT,NSERT PACE-DEFIB W//LEAD,,negotiated,0,institutional,Umass Memorial Marlborough Hospital,Marlborough,MA,1752
Fallon Health,42104693,ein,1396738159,ffs,36522,CPT,PHOTOPHERESIS,,negotiated,0,institutional,Umass Memorial Marlborough Hospital,Marlborough,MA,1752
Fallon Health,42104693,ein,1396738159,ffs,77373,CPT,SBRT DELIVERY,,negotiated,45,institutional,Umass Memorial Marlborough Hospital,Marlborough,MA,1752
Fallon Health,42104693,ein,1396738159,ffs,15777,CPT,IMPLNT BIO IMPLNT FOR SOFT TISSUE REINFORCEMENT,,negotiated,145.7,institutional,Umass Memorial Marlborough Hospital,Marlborough,MA,1752
Fallon Health,42104693,ein,1396738159,ffs,47562,CPT,LAPAROSCOPIC CHOLECYSTECTOMY,,negotiated,3343,institutional,Umass Memorial Marlborough Hospital,Marlborough,MA,1752
Aetna Life insurance Company,42104693,ein,1396738159,ffs,470,MS-DRG,MAJOR JOINT REPLACEMENT,,negotiated,18535,institutional,Umass Memorial Marlborough Hospital,Marlborough,MA,1752
Fallon Health,42104693,ein,1396738159,ffs,470,MS-DRG,MAJOR JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W,,negotiated,18834,institutional,Umass Memorial Marlborough Hospital,Marlborough,MA,1752
UnitedHealthcare Insurance Company,43208311,ein,1407399298,ffs,785,MS-DRG,Cesarean Section with Sterilization without CC//MCC,,negotiated,5700,institutional,Umass Memorial Medical Center University Campus,Worcester,MA,1655
UnitedHealthcare Insurance Company,43211342,ein,1508815549,ffs,785,MS-DRG,Cesarean Section with Sterilization without CC//MCC,,negotiated,5700,institutional,West Roxbury Va Medical Center,West Roxbury,MA,2132
Fallon Health,43275745,ein,1528000676,ffs,15777,CPT,IMPLNT BIO IMPLNT FOR SOFT TISSUE REINFORCEMENT,"26,TC,QW",negotiated,222.91,institutional,Whitney Place At Natick Limited,Natick,MA,1760
Fallon Health,43275745,ein,1528000676,ffs,47562,CPT,LAPAROSCOPIC CHOLECYSTECTOMY,"26,TC,QW",negotiated,693.07,institutional,Whitney Place At Natick Limited,Natick,MA,1760
Fallon Health,43275745,ein,1528000676,ffs,33249,CPT,NSERT PACE-DEFIB W//LEAD,"26,TC,QW",negotiated,952.21,institutional,Whitney Place At Natick Limited,Natick,MA,1760
Fallon Health,43275745,ein,1528000676,ffs,77373,CPT,SBRT DELIVERY,"26,TC,QW",negotiated,1101.76,institutional,Whitney Place At Natick Limited,Natick,MA,1760
Fallon Health,43275745,ein,1528000676,ffs,36522,CPT,PHOTOPHERESIS,"26,TC,QW",negotiated,1532.93,institutional,Whitney Place At Natick Limited,Natick,MA,1760
Fallon Health,43358564,ein,1831151455,ffs,36522,CPT,PHOTOPHERESIS,,percentage,52.1,institutional,Umass Memorial Medical Center University Campus,Worcester,MA,1655
Fallon Health,43358564,ein,1831151455,ffs,77373,CPT,SBRT DELIVERY,,percentage,67.3,institutional,Umass Memorial Medical Center University Campus,Worcester,MA,1655
Fallon Health,43358564,ein,1831151455,ffs,47562,CPT,LAPAROSCOPIC CHOLECYSTECTOMY,,percentage,96.7,institutional,Umass Memorial Medical Center University Campus,Worcester,MA,1655
Fallon Health,43358564,ein,1831151455,ffs,15777,CPT,IMPLNT BIO IMPLNT FOR SOFT TISSUE REINFORCEMENT,,negotiated,5792,institutional,Umass Memorial Medical Center University Campus,Worcester,MA,1655
Fallon Health,43358564,ein,1831151455,ffs,33249,CPT,NSERT PACE-DEFIB W//LEAD,,negotiated,5792,institutional,Umass Memorial Medical Center University Campus,Worcester,MA,1655
UnitedHealthcare Insurance Company,43358564,ein,1831151455,ffs,928,MS-DRG,Full Thickness Burn with Skin Graft or Inhalation Injury with CC//MCC,,per diem,6271,institutional,Umass Memorial Medical Center University Campus,Worcester,MA,1655
Fallon Health,43358564,ein,1831151455,ffs,785,MS-DRG,CESAREAN SECTION W STERILIZATION W//O CC//MCC,,negotiated,16456,institutional,Umass Memorial Medical Center University Campus,Worcester,MA,1655
Fallon Health,43358564,ein,1831151455,ffs,178,MS-DRG,RESPIRATORY INFECTIONS & INFLAMMATIONS W CC,,negotiated,19511.65,institutional,Umass Memorial Medical Center University Campus,Worcester,MA,1655
Fallon Health,43358564,ein,1831151455,ffs,121,MS-DRG,ACUTE MAJOR EYE INFECTIONS W CC//MCC,,negotiated,21994.14,institutional,Umass Memorial Medical Center University Campus,Worcester,MA,1655
Fallon Health,43358564,ein,1831151455,ffs,470,MS-DRG,MAJOR JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W,,negotiated,34318.61,institutional,Umass Memorial Medical Center University Campus,Worcester,MA,1655
Fallon Health,43358564,ein,1831151455,ffs,455,MS-DRG,COMBINED ANTERIOR//POSTERIOR SPINAL FUSION W//O CC//MCC,,negotiated,85944.6,institutional,Umass Memorial Medical Center University Campus,Worcester,MA,1655
Fallon Health,43358564,ein,1831151455,ffs,928,MS-DRG,FULL THICKNESS BURN W SKIN GRAFT OR INHAL INJ W CC//MCC,,negotiated,111133.84,institutional,Umass Memorial Medical Center University Campus,Worcester,MA,1655
UnitedHealthcare Insurance Company,43400617,ein,1053350306,ffs,77373,CPT,STEREOTACTIC BODY RADIATION DELIVERY,,negotiated,5061.94,institutional,Tufts Medical Center,Boston,MA,2111
UnitedHealthcare Insurance Company,43400617,ein,1053350306,ffs,36522,CPT,PHOTOPHERESIS EXTRACORPOREAL,,negotiated,11803.97,institutional,Tufts Medical Center,Boston,MA,2111
UnitedHealthcare Insurance Company,43400617,ein,1053350306,ffs,47562,CPT,LAPAROSCOPY SURG CHOLECYSTECTOMY,,negotiated,14768.17,institutional,Tufts Medical Center,Boston,MA,2111
UnitedHealthcare Insurance Company,43400617,ein,1851332431,ffs,785,MS-DRG,Cesarean Section with Sterilization without CC//MCC,,negotiated,19602.85,institutional,Tufts Medical Center,Boston,MA,2111
UnitedHealthcare Insurance Company,43400617,ein,1851332431,ffs,178,MS-DRG,Respiratory Infections and Inflammations with CC,,negotiated,23361.8,institutional,Tufts Medical Center,Boston,MA,2111
UnitedHealthcare Insurance Company,43400617,ein,1851332431,ffs,121,MS-DRG,Acute Major Eye Infections with CC//MCC,,negotiated,26334.15,institutional,Tufts Medical Center,Boston,MA,2111
UnitedHealthcare Insurance Company,43400617,ein,1851332431,ffs,470,MS-DRG,Major Hip and Knee Joint Replacement or Reattachment of Lower Extremity without MCC,,negotiated,41090.55,institutional,Tufts Medical Center,Boston,MA,2111
UnitedHealthcare Insurance Company,43400617,ein,1053350306,ffs,33249,CPT,INSJ//RPLCMT PERM DFB W//TRNSVNS LDS 1//DUAL CHMBR,,negotiated,95870.3,institutional,Tufts Medical Center,Boston,MA,2111
UnitedHealthcare Insurance Company,43400617,ein,1851332431,ffs,455,MS-DRG,Combined Anterior and Posterior Spinal Fusion without CC//MCC,,negotiated,102903.7,institutional,Tufts Medical Center,Boston,MA,2111
UnitedHealthcare Insurance Company,43400617,ein,1851332431,ffs,928,MS-DRG,Full Thickness Burn with Skin Graft or Inhalation Injury with CC//MCC,,negotiated,133063.42,institutional,Tufts Medical Center,Boston,MA,2111
Fallon Health,43581363,ein,1316957681,ffs,15777,CPT,IMPLNT BIO IMPLNT FOR SOFT TISSUE REINFORCEMENT,"26,TC,QW",negotiated,222.91,institutional,Wakefield Healthcare,Wakefield,MA,1880
Fallon Health,43581363,ein,1316957681,ffs,47562,CPT,LAPAROSCOPIC CHOLECYSTECTOMY,"26,TC,QW",negotiated,693.07,institutional,Wakefield Healthcare,Wakefield,MA,1880
Fallon Health,43581363,ein,1316957681,ffs,33249,CPT,NSERT PACE-DEFIB W//LEAD,"26,TC,QW",negotiated,952.21,institutional,Wakefield Healthcare,Wakefield,MA,1880
Fallon Health,43581363,ein,1316957681,ffs,77373,CPT,SBRT DELIVERY,"26,TC,QW",negotiated,1101.76,institutional,Wakefield Healthcare,Wakefield,MA,1880
Fallon Health,43581363,ein,1316957681,ffs,36522,CPT,PHOTOPHERESIS,"26,TC,QW",negotiated,1532.93,institutional,Wakefield Healthcare,Wakefield,MA,1880
Fallon Health,43581366,ein,1154331353,ffs,15777,CPT,IMPLNT BIO IMPLNT FOR SOFT TISSUE REINFORCEMENT,"26,TC,QW",negotiated,222.91,institutional,Westfield Healthcare,Westfield,MA,1085
Fallon Health,43581366,ein,1154331353,ffs,47562,CPT,LAPAROSCOPIC CHOLECYSTECTOMY,"26,TC,QW",negotiated,693.07,institutional,Westfield Healthcare,Westfield,MA,1085
Fallon Health,43581366,ein,1154331353,ffs,33249,CPT,NSERT PACE-DEFIB W//LEAD,"26,TC,QW",negotiated,952.21,institutional,Westfield Healthcare,Westfield,MA,1085
Fallon Health,43581366,ein,1154331353,ffs,77373,CPT,SBRT DELIVERY,"26,TC,QW",negotiated,1101.76,institutional,Westfield Healthcare,Westfield,MA,1085
Fallon Health,43581366,ein,1154331353,ffs,36522,CPT,PHOTOPHERESIS,"26,TC,QW",negotiated,1532.93,institutional,Westfield Healthcare,Westfield,MA,1085
Aetna Life insurance Company,43665595,ein,1972904738,ffs,785,MS-DRG,CESAREAN SECTION W STERILIZATION W//O CC//MCC,,per diem,3158,institutional,Stonesprings Hospital Center,Dulles,VA,20166
Aetna Life insurance Company,43665595,ein,1972904738,ffs,470,MS-DRG,MAJOR JOINT REPLACEMENT,,negotiated,41839,institutional,Stonesprings Hospital Center,Dulles,VA,20166
Aetna Life insurance Company,43665595,ein,1972904738,ffs,455,MS-DRG,COMBINED ANTERIOR//POSTERIOR,,negotiated,109267,institutional,Stonesprings Hospital Center,Dulles,VA,20166
Blue Cross and Blue Shield of Texas,43692740,ein,1124085956,ffs,77373,CPT,SBRT DELIVERY,,negotiated,0,institutional,Surgical Group Of North Texas,Grapevine,TX,76051
Aetna Life insurance Company,43730045,ein,1942605381,ffs,785,MS-DRG,CESAREAN SECTION W STERILIZATION W//O CC//MCC,,per diem,6513,institutional,Uchealth Medical Center Of The Rockies,Loveland,CO,80538
UnitedHealthcare Insurance Company,50258905,ein,1851677470,ffs,121,MS-DRG,Acute Major Eye Infections with CC//MCC,,negotiated,8383,institutional,The Miriam Hospital,Providence,RI,2904
UnitedHealthcare Insurance Company,50258905,ein,1851677470,ffs,178,MS-DRG,Respiratory Infections and Inflammations with CC,,negotiated,8383,institutional,The Miriam Hospital,Providence,RI,2904
UnitedHealthcare Insurance Company,50258905,ein,1851677470,ffs,455,MS-DRG,Combined Anterior and Posterior Spinal Fusion without CC//MCC,,negotiated,8383,institutional,The Miriam Hospital,Providence,RI,2904
UnitedHealthcare Insurance Company,50258905,ein,1851677470,ffs,470,MS-DRG,Major Hip and Knee Joint Replacement or Reattachment of Lower Extremity without MCC,,negotiated,8383,institutional,The Miriam Hospital,Providence,RI,2904
UnitedHealthcare Insurance Company,50258905,ein,1851677470,ffs,785,MS-DRG,Cesarean Section with Sterilization without CC//MCC,,negotiated,8383,institutional,The Miriam Hospital,Providence,RI,2904
UnitedHealthcare Insurance Company,50258905,ein,1851677470,ffs,928,MS-DRG,Full Thickness Burn with Skin Graft or Inhalation Injury with CC//MCC,,negotiated,8383,institutional,The Miriam Hospital,Providence,RI,2904
UnitedHealthcare Insurance Company,50258954,ein,1326382763,ffs,121,MS-DRG,Acute Major Eye Infections with CC//MCC,,negotiated,8827,institutional,Rhode Island Hospital,East Providence,RI,2914
UnitedHealthcare Insurance Company,50258954,ein,1326382763,ffs,178,MS-DRG,Respiratory Infections and Inflammations with CC,,negotiated,8827,institutional,Rhode Island Hospital,East Providence,RI,2914
UnitedHealthcare Insurance Company,50258954,ein,1326382763,ffs,455,MS-DRG,Combined Anterior and Posterior Spinal Fusion without CC//MCC,,negotiated,8827,institutional,Rhode Island Hospital,East Providence,RI,2914
UnitedHealthcare Insurance Company,50258954,ein,1326382763,ffs,470,MS-DRG,Major Hip and Knee Joint Replacement or Reattachment of Lower Extremity without MCC,,negotiated,8827,institutional,Rhode Island Hospital,East Providence,RI,2914
UnitedHealthcare Insurance Company,50258954,ein,1326382763,ffs,785,MS-DRG,Cesarean Section with Sterilization without CC//MCC,,negotiated,8827,institutional,Rhode Island Hospital,East Providence,RI,2914
UnitedHealthcare Insurance Company,50258954,ein,1326382763,ffs,928,MS-DRG,Full Thickness Burn with Skin Graft or Inhalation Injury with CC//MCC,,negotiated,8827,institutional,Rhode Island Hospital,East Providence,RI,2914
Aetna Life insurance Company,60250773,ein,1730243536,ffs,470,MS-DRG,MAJOR JOINT REPLACEMENT,,negotiated,30231,institutional,The William W Backus Hospital,Norwich,CT,6360
Aetna Life insurance Company,60646652,ein,1427100957,ffs,785,MS-DRG,CESAREAN SECTION W STERILIZATION W//O CC//MCC,,per diem,6800,institutional,Yale New Haven Hospital,New Haven,CT,6504
UnitedHealthcare Insurance Company,60646652,ein,1427100957,ffs,785,MS-DRG,Cesarean Section with Sterilization without CC//MCC,,negotiated,27864.66,institutional,Yale New Haven Hospital,New Haven,CT,6504
